word,book1_count,book2_count,book1_per_10k,book2_per_10k,g2_score,distinctive_to
thoughts,88,10,118.32728250638698,5.837370848169985,152.93645178587218,Book 1
thought,64,16,86.05620545919052,9.339793357071974,84.43046218779817,Book 1
love,4,149,5.378512841199408,86.97682563773276,79.95758647223911,Book 2
truth,8,166,10.757025682398815,96.90035607962173,73.92369380681768,Book 2
circumstances,37,3,49.75124378109452,1.7512112544509952,69.28088937579207,Book 1
divine,2,70,2.689256420599704,40.86159593718989,36.979623791135474,Book 2
character,22,3,29.581820626596745,1.7512112544509952,36.39607963106947,Book 1
himself,37,18,49.75124378109452,10.507267526705972,31.86295774329442,Book 1
self,20,145,26.89256420599704,84.64187729846476,30.48013717678689,Book 2
result,20,4,26.89256420599704,2.3349483392679935,29.0565923942333,Book 1
crystallize,12,0,16.135538523598225,0.0,28.679453794016595,Book 1
solidify,12,0,16.135538523598225,0.0,28.679453794016595,Book 1
habits,14,1,18.82479494419793,0.5837370848169984,26.832572146627363,Book 1
condition,11,0,14.790910313298372,0.0,26.289499311181878,Book 1
circumstance,10,0,13.44628210299852,0.0,23.89954482834716,Book 1
eternal,1,39,1.344628210299852,22.765746307862937,21.160703992267813,Book 2
peace,7,71,9.412397472098965,41.445333022006885,20.825212588316248,Book 2
from,15,103,20.169423154497782,60.12491973615084,20.23777312737628,Book 2
conditions,11,1,14.790910313298372,0.5837370848169984,20.126545908614425,Book 1
meditation,1,36,1.344628210299852,21.014535053411944,19.155359384096414,Book 2
chance,8,0,10.757025682398815,0.0,19.11963586267773,Book 1
thou,0,26,0.0,15.177164205241958,18.748864960290398,Book 2
purpose,13,3,17.480166733898077,1.7512112544509952,17.790256763528127,Book 1
error,0,24,0.0,14.009690035607962,17.30664457872959,Book 2
body,16,6,21.51405136479763,3.5024225089019905,16.78401766468162,Book 1
oppressor,7,0,9.412397472098965,0.0,16.72968137984301,Book 1
success,7,0,9.412397472098965,0.0,16.72968137984301,Book 1
environment,7,0,9.412397472098965,0.0,16.72968137984301,Book 1
failure,7,0,9.412397472098965,0.0,16.72968137984301,Book 1
sorrow,1,32,1.344628210299852,18.679586714143948,16.5030793102023,Book 2
realization,0,22,0.0,12.842215865973966,15.86442419716879,Book 2
ideal,9,1,12.101653892698668,0.5837370848169984,15.72904106846388,Book 1
people,9,1,12.101653892698668,0.5837370848169984,15.72904106846388,Book 1
